id,reason,province,municipality
13729.0,not_available,Bruxelles-Brussel,Bruxelles
13730.0,not_available,Bruxelles-Brussel,Bruxelles
13731.0,not_available,Bruxelles-Brussel,Bruxelles
13732.0,not_available,Bruxelles-Brussel,Bruxelles
13733.0,not_available,Bruxelles-Brussel,Bruxelles
13738.0,not_available,Antwerpen,Lier
13739.0,not_available,Hainaut,Mons
13740.0,not_available,Antwerpen,Kapellen 
13747.0,not_available,Antwerpen,Kapellen 
13749.0,not_available,Limburg,Houthalen
13752.0,not_available,Namur,Belgrade
13754.0,not_available,West-Vlaanderen,Kortrijk
13755.0,not_available,Limburg,Peer
13764.0,not_available,Bruxelles-Brussel,Brussel
13778.0,not_available,Hainaut,Gosselies
13784.0,not_available,Oost-Vlaanderen,Nazareth
13785.0,not_available,West-Vlaanderen,Ieper
13786.0,not_available,Hainaut,Tournai
13797.0,not_available,Oost-Vlaanderen,Gent
13801.0,not_available,Hainaut,Enghien
13802.0,not_available,Hainaut,LESSINES
13803.0,not_available,Namur,Gembloux
13804.0,not_available,Namur,Gembloux
13805.0,not_available,Hainaut,LESSINES
13806.0,not_available,Hainaut,LESSINES
13810.0,not_available,Liège,Hannut 
13817.0,not_available,Vlaams-Brabant,Nossegem
13818.0,not_available,Liège,Eupen
13826.0,not_available,Antwerpen,Turnhout
13833.0,not_available,West-Vlaanderen,Beveren-Leie
13870.0,not_available,Limburg,GENK
13875.0,not_available,Bruxelles-Brussel,Bruxelles
13887.0,not_available,Oost-Vlaanderen,Beveren
13888.0,not_available,West-Vlaanderen,Rekkem
13891.0,not_available,Vlaams-Brabant,Vilvoorde
913899.0,not_available,Oost-Vlaanderen,Aalst
913901.0,not_available,Vlaams-Brabant,Zaventem
13902.0,not_available,Bruxelles-Brussel,Jette
13910.0,not_available,Vlaams-Brabant,Leuven
13939.0,not_available,Brabant Wallon,Baisy-Thy
13940.0,not_available,Brabant Wallon,braine l alleud
913944.0,not_available,Vlaams-Brabant,Leuven
913950.0,not_available,Liège,Herstal 
913951.0,not_available,Oost-Vlaanderen,Gent
13983.0,not_available,Namur,Assesse
13984.0,not_available,Namur,ASSESSE
14003.0,not_available,Luxembourg,Saint-Léger
14017.0,not_available,Oost-Vlaanderen,Kruibeke 
14018.0,not_available,Antwerpen,Antwerpen
14039.0,not_available,Antwerpen,Beerzel
14076.0,not_available,Liège,VERVIERS
14090.0,not_available,Namur,Sauvenière 
14091.0,not_available,Brabant Wallon,Mont-Saint-Guibert
14092.0,not_available,Brabant Wallon,Ottignies-Louvain-la-Neuve 
14093.0,not_available,Hainaut,Tournai 
14094.0,not_available,Hainaut,Mouscron 
14095.0,not_available,Liège,Hannut 
14096.0,not_available,Liège,Huy 
14097.0,not_available,Hainaut,Wanze
14098.0,not_available,Liège,Verviers
14099.0,not_available,Luxembourg,Marche-En-Famenne 
14100.0,not_available,Luxembourg,Marche En Famenne
14102.0,not_available,Antwerpen,Willebroek 
14116.0,not_available,Hainaut,Ath 
14117.0,not_available,Hainaut,Chimay 
14123.0,not_available,Hainaut,Mons
14124.0,not_available,Hainaut,Moescron
14158.0,not_available,Oost-Vlaanderen,Massemen
14159.0,not_available,West-Vlaanderen,Oostnieuwkerke
14160.0,not_available,Antwerpen,Puurs - Sint - Amands
14162.0,not_available,Vlaams-Brabant,Leuven
14165.0,not_available,Oost-Vlaanderen,Gent
14166.0,not_available,Oost-Vlaanderen,Gent
14167.0,not_available,Oost-Vlaanderen,Oudenaarde
14206.0,not_available,Liège,Eupen 
14207.0,not_available,Liège,Liège
14208.0,not_available,Brabant Wallon,Nivelles
14209.0,not_available,Hainaut,Mons 
14210.0,not_available,Hainaut,Lobbes
14211.0,not_available,Hainaut,Mons
14212.0,not_available,Hainaut,Namur 
14213.0,not_available,Namur,Namur 
14214.0,not_available,Luxembourg,Gouvy 
14215.0,not_available,Liège,Malmedy 
14216.0,not_available,Luxembourg,Habay 
14218.0,not_available,Liège,Liège
14219.0,not_available,Liège,Grace Hollogne 
14221.0,not_available,Limburg,Hoegaarden
14223.0,not_available,Limburg,Hoegaarden
14224.0,not_available,Bruxelles-Brussel,Brussel
14226.0,not_available,Antwerpen,Grobbendonk
14227.0,not_available,Antwerpen,Grobbendonk
14228.0,not_available,Oost-Vlaanderen,Oostakker
14229.0,not_available,Liège,Bullingen
14249.0,not_available,Hainaut,Mons
14253.0,not_available,Luxembourg,Neufchatêau
14254.0,not_available,Luxembourg,Bastogne
14255.0,not_available,Liège,Herstal
14256.0,not_available,Luxembourg,Saint-Ode
14257.0,not_available,Liège,Liège
14258.0,not_available,Liège,Verviers
14261.0,not_available,Vlaams-Brabant,Vilvoorde
14266.0,not_available,Liège,Ferrières
14267.0,not_available,Namur,Onhaye 
14268.0,not_available,Namur,Bièvre 
14272.0,not_available,Limburg,Hasselt
14273.0,not_available,Antwerpen,Antwerpen
14274.0,not_available,Antwerpen,Herenthout
14302.0,not_available,Limburg,Alken
14303.0,not_available,Limburg,Hasselt
14317.0,not_available,Limburg,Sint-Truiden
14321.0,not_available,Bruxelles-Brussel,BRUSSEL
14341.0,not_available,Namur,Andenne
14344.0,not_available,Limburg,Hasselt
14355.0,not_available,Hainaut,Gouy-Lez-Piéton
14359.0,not_available,Namur,Namur 
14363.0,not_available,Bruxelles-Brussel,Saint-Gilles
14370.0,not_available,Liège,Sankt Vith
14378.0,not_available,Antwerpen,Turnhout
14379.0,not_available,Antwerpen,Turnhout
14388.0,not_available,West-Vlaanderen,Kortrijk
14389.0,not_available,West-Vlaanderen,Roeselare
14391.0,not_available,West-Vlaanderen,Oostende
14392.0,not_available,Vlaams-Brabant,Vilvoorde
14394.0,not_available,Vlaams-Brabant,Vilvoorde
14399.0,not_available,Bruxelles-Brussel,Sint-Lambrechts-Woluwe
14400.0,not_available,Bruxelles-Brussel,Sint-Lambrechts-Woluwe
14403.0,not_available,Brabant Wallon,Wauthier-Braine
14410.0,not_available,West-Vlaanderen,BRUGGE
